created_at,text,sentiment
2024-12-09 05:25:07+00:00,RT @DefiyantlyFree: Donald Trump did not keep his salary his first term as president. He is not going to keep his salary during the second…,Positive
2024-12-09 05:25:07+00:00,"@HawkNSandy @Project_Veritas Trump must abolish the unconstitutional cabinet EPA, a lapdog of deep state and shale fracking J3ws... J3ws continue polluting merrily, they are allowed to officially leak methane by bribed IPCC, providing loopholes and mirage projectors...–Capt Vadakayil
https://t.co/E0amghaEY9",Neutral
2024-12-09 05:25:07+00:00,RT @piyushmittal: How can anyone be surprised at the things Trump does? https://t.co/bDQJ4woOSP,Positive
2024-12-09 05:25:07+00:00,"RT @fredhickey: Ha ha.

Trump says he 'can't guarantee' tariffs won't raise prices.

MAGA are the dumbest Fucks.",Neutral
2024-12-09 05:25:07+00:00,RT @amourxkayla: get these mexicans off my tl please before i call trump,Neutral
2024-12-09 05:25:07+00:00,"@pink_led Freed Taliban Prisoner Thought Trump Presidency Couldn''t Be Real. It didn’t enter my mind that he was being serious, Joshua Boyle",Negative
2024-12-09 05:25:07+00:00,RT @bennyjohnson: BREAKING: President-elect Trump is asked if his plans have changed in regard to pardoning himself following Biden’s pardo…,Neutral
2024-12-09 05:25:07+00:00,"RT @anyonewantchips: Trump’s plan to end birthright citizenship would mean 4 of his children wouldn't be considered US citizens:

Don Jr -…",Negative
2024-12-09 05:25:07+00:00,RT @KeithOlbermann: IS THE NYC INSURANCE SHOOTING THE START OF A NEW ERA? Has America again rejected party politics and law and returned to…,Positive
2024-12-09 05:25:07+00:00,"RT @CaliPoet1: @joncoopertweets If trump pardons the violent J6 terrorists, it’s irrefutable evidence that he wanted violence, did call for…",Negative
2024-12-09 05:25:07+00:00,RT @bennyjohnson: 🚨BREAKING: Trump says Kash Patel will have the freedom as FBI Director to investigate any D.C. politician who might be co…,Neutral
2024-12-09 05:25:07+00:00,RT @LibertyLockPod: This is what an actual awakening looks like. Not Mark Zuckerberg cozying up to the right as Trump reclaims power. Not m…,Positive
2024-12-09 05:25:07+00:00,"RT @bennyjohnson: Never seen anyone atomize their career faster than Senator Joni Ernst

She is actually more unpopular than Mitch McConnel…",Positive
2024-12-09 05:25:07+00:00,"RT @RyanBergPhD: With @ChrisLandauUSA's nomination as DepSec of State, the top 2 officials in the Trump admin's @StateDept will be Latin Am…",Positive
2024-12-09 05:25:07+00:00,RT @MAGAResource: Here is former FBI Assistant Director Peter Strzok who was one of the main participants along with Director James Comey i…,Positive
2024-12-09 05:25:07+00:00,RT @SethAbramson: RETWEET if you want Joe Biden to declassify every single page the U.S. intelligence community has compiled on Donald Trum…,Negative
2024-12-09 05:25:07+00:00,"RT @BehizyTweets: I love the fact that President Trump told Kristen Welker that he still believes the 2020 election was rigged and stolen,…",Positive
2024-12-09 05:25:07+00:00,"RT @CollinRugg: NEW: Kristen Welker’s question immediately backfires after she tries pinning America’s “division” on Trump.

Welker also tr…",Positive
2024-12-09 05:25:06+00:00,"RT @HustleBitch_: 🚨 #BREAKING: TRUMP CONSIDERS ELIMINATING ALL CHILDHOOD VACCINES

""Studies show there is no link between vaccines and auti…",Neutral
2024-12-09 05:25:06+00:00,"RT @LeadingReport: BREAKING: Trump’s transition will not use taxpayer funding for costs related to the process, remaining consistent with h…",Positive
2024-12-09 05:25:06+00:00,RT @libsoftiktok: Trump should officially declare BLM as a t*rrorist organization when he gets into office. Who agrees?,Neutral
2024-12-09 05:25:06+00:00,"RT @DameScorpio: 𝐓𝐇𝐄 𝐆𝐑𝐈𝐏 𝐇𝐄𝐀𝐑𝐃 𝐀𝐑𝐎𝐔𝐍𝐃 𝐓𝐇𝐄 𝐖𝐎𝐑𝐋𝐃 💪 🇺🇸 💯 

TRUMP IS SOOOOOOO BACK! President Trump is slapping backs, shaking hands and maki…",Neutral
2024-12-09 05:25:06+00:00,"RT @GinaSaysSo: There was no pandemic. 

The election was stolen. 

The insurrection was a set up. 

There is no vaccine.

Trump‘s indictme…",Neutral
2024-12-09 05:25:06+00:00,RT @ScottAdamsSays: When President Trump suggests maybe your sponsors (pharma) are  injuring children and we'd better look into it. https:/…,Positive
2024-12-09 05:25:06+00:00,@VivekGRamaswamy $BUY $HOLD This is the most patriotic crypto you can have in your pro-folio. Next year it is America’s 250th birthday!! Buy this now and watch it skyrocket next year!! Thank you 🙏 President Trump. Get in now it’s still early!!! REPOST!!! Anyone and everyone should have this!!!… https://t.co/tkZZTsfyaS https://t.co/s7auaOWflB,Positive
2024-12-09 05:25:06+00:00,RT @charliekirk11: BREAKING: President Trump tells NBC he is “most likely” to pardon J6ers on day one and warned that some members of the J…,Positive
2024-12-09 05:25:06+00:00,@AutismCapital Alpha leak: $TRUMPET’s about to send harder than anything in the game. Trump + CEX listing = max meme meta. You either ape or get rekt watching it go parabolic. Don’t be the exit liquidity. 🎺💥 https://t.co/NsQja8zP6l,Negative
2024-12-09 05:25:06+00:00,"RT @MTGrepp: Nothing to see here. Just Nancy Pelosi and Chuck Schumer casually admitting to setting Trump up

Retribution is coming https:/…",Negative
2024-12-09 05:25:06+00:00,"RT @simonateba: JUST IN: President-elect Trump Appoints Alina Habba as Counselor to the President

President-elect Donald Trump has announc…",Neutral
2024-12-09 05:25:05+00:00,"RT @RealAlexJones: VIDEO: Trump Pledges to Hold Poison Vaccine Makers Responsible, Free J6ers, and Secure Our Borders in Powerful New Inter…",Positive
2024-12-09 05:25:05+00:00,"RT @MarioNawfal: TRUMP: IT’S TIME TO STOP THE WAR IN UKRAINE

“Assad is gone. He has fled his country.

His protector, Russia, Russia, Russ…",Neutral
2024-12-09 05:25:05+00:00,"RT @friedman_yitz: 🧵1/ Today President (-elect) Trump sat down with NBC's Kristen Welker for 1 hour 16 &amp; minutes.  

I've worked in TV and…",Positive
2024-12-09 05:25:05+00:00,"RT @bennyjohnson: 🚨 Donald Trump on Liz Cheney, Bennie Thompson and members of the January 6th Committee responsible for deleting evidence:…",Positive
2024-12-09 05:25:05+00:00,"RT @TristanSnell: BREAKING: Trump says he will try to KILL birthright citizenship

Trump’s plan:

- He wants to deport LEGAL immigrants
- H…",Positive
2024-12-09 05:25:05+00:00,RT @KashPatelX: 🚨 BREAKING: JFK was killed for trying to expose the corrupt elites. Do you support Donald Trump in his fight to uncover the…,Negative
2024-12-09 05:25:05+00:00,RT @MorningsMaria: Trump hush money case was the weaponization of our justice system: Jason Miller https://t.co/7MJlilK89E,Neutral
2024-12-09 05:25:05+00:00,"RT @friedman_yitz: 🧵1/ Today President (-elect) Trump sat down with NBC's Kristen Welker for 1 hour 16 &amp; minutes.  

I've worked in TV and…",Positive
2024-12-09 05:25:05+00:00,"RT @KrauseForIowa: BBC states Trump plans to repeal a provision in the Constitution that states if you're born in the US, you are a US citi…",Neutral
2024-12-09 05:25:05+00:00,RT @TheKuhnerReport: #Trump says he'll issue an executive order banning birthright citizenship (birth tourism). It's WRONG that non-citizen…,Negative
2024-12-09 05:25:05+00:00,RT @DefiyantlyFree: Donald Trump did not keep his salary his first term as president. He is not going to keep his salary during the second…,Positive
2024-12-09 05:25:05+00:00,RT @TheLeoTerrell: I am begging every American to watch this ENTIRE segment. First of all President Trump has no problem going on the netwo…,Positive
2024-12-09 05:25:05+00:00,Poor soul he gonna think Trump is Jesus Christ himself 😭😭😭😭 https://t.co/7TLBUuVZ3m,Negative
2024-12-09 05:25:05+00:00,"RT @RealAlexJones: VIDEO: Trump Pledges to Hold Poison Vaccine Makers Responsible, Free J6ers, and Secure Our Borders in Powerful New Inter…",Positive
2024-12-09 05:25:05+00:00,"RT @mattgaetz: Trump: Goes to Europe to make peace. 

Biden: Bombs Syria.",Neutral
2024-12-09 05:25:05+00:00,"RT @TomHoman_: Mass deportation update: 🚨 

New York Mayor Eric Adams takes another step in the right direction when it comes to President…",Positive
2024-12-09 05:25:05+00:00,@piyushmittal And now with the First Lady Dr. Jill Biden being used in the cologne add. Trump's an unquantifiable pos.,Positive
2024-12-09 05:25:05+00:00,"RT @jimsciutto: The fall of Assad is enormous news. 

It should not bury that Trump vowed today to pardon Jan 6 rioters and end birthright…",Neutral
